alpha,k,accuracy,time
20,12,0.587,"[0.76976,0.40424]","[0.563712,0.63712]",12398666508
20,20,0.59532,"[0.77464,0.416]","[0.570158,0.648622]",12383862491
20,40,0.60284,"[0.79104,0.41464]","[0.574717,0.664913]",12483018626
20,100,0.60784,"[0.81288,0.4028]","[0.576478,0.682804]",12394275350
20,200,0.60508,"[0.81984,0.39032]","[0.573507,0.684196]",12395638457
20,300,0.60152,"[0.8272,0.37584]","[0.569948,0.685039]",12418396233
50,4,0.5746,"[0.78784,0.36136]","[0.552297,0.630074]",29051384021
50,8,0.59552,"[0.7756,0.41544]","[0.570227,0.649287]",28878675815
50,12,0.60652,"[0.776,0.43704]","[0.579554,0.66114]",28882965521
50,20,0.61788,"[0.77864,0.45712]","[0.5892,0.673741]",29103982410
50,40,0.62608,"[0.78976,0.4624]","[0.594986,0.687441]",29070245822
50,100,0.6312,"[0.80624,0.45616]","[0.597179,0.701871]",29114736685
50,200,0.62364,"[0.80936,0.43792]","[0.590153,0.696704]",29233547678
50,300,0.62004,"[0.81736,0.42272]","[0.586072,0.698295]",29110514449
100,4,0.57324,"[0.80144,0.34504]","[0.550288,0.634731]",53968454053
100,8,0.5896,"[0.78688,0.39232]","[0.56425,0.647992]",53505619876
100,12,0.60316,"[0.79208,0.41424]","[0.574871,0.665809]",53516646942
100,20,0.6156,"[0.7936,0.4376]","[0.585251,0.679503]",53523035904
100,40,0.62164,"[0.79496,0.44832]","[0.590329,0.686176]",53584124372
100,100,0.6268,"[0.80424,0.44936]","[0.593588,0.696553]",53520858161
100,200,0.62336,"[0.80816,0.43856]","[0.59007,0.695685]",53564912174
100,300,0.62012,"[0.82256,0.41768]","[0.585502,0.701842]",53536817482
500,4,0.57112,"[0.81128,0.33096]","[0.548044,0.636853]",258388200504
500,8,0.59108,"[0.79776,0.3844]","[0.564442,0.655257]",254887954435
500,12,0.59824,"[0.7892,0.40728]","[0.571089,0.658944]",254582832255
500,20,0.6106,"[0.78992,0.43128]","[0.581405,0.672446]",255142582324
500,40,0.61776,"[0.78208,0.45344]","[0.588632,0.675405]",256121019175
500,100,0.61676,"[0.76768,0.46584]","[0.589688,0.66724]",254112417475
500,200,0.6148,"[0.77824,0.45136]","[0.586519,0.670549]",255428033393
500,300,0.61388,"[0.80368,0.42408]","[0.582546,0.683559]",254825546382
1200,4,0.57148,"[0.81568,0.32728]","[0.548025,0.639719]",724817665489
1200,8,0.58976,"[0.79288,0.38664]","[0.56383,0.651172]",793721592009
1200,12,0.59948,"[0.78504,0.41392]","[0.572554,0.658186]",839101470300
1200,20,0.61448,"[0.7864,0.44256]","[0.585189,0.67447]",862829253432
1200,40,0.61752,"[0.77368,0.46136]","[0.589551,0.670893]",859849663576
1200,100,0.61724,"[0.7712,0.46328]","[0.589639,0.669402]",860094073653
1200,200,0.62048,"[0.80176,0.4392]","[0.588422,0.689006]",860736932378
1200,300,0.61664,"[0.83208,0.4012]","[0.581516,0.704948]",876119647976
1500,4,0.5708,"[0.81584,0.32576]","[0.547514,0.638845]",1148616921371
1500,8,0.5896,"[0.79208,0.38712]","[0.563774,0.650578]",1101806786304
1500,12,0.6008,"[0.78752,0.41408]","[0.573392,0.660878]",1081598153629
1500,20,0.6118,"[0.78424,0.43936]","[0.58313,0.670656]",1079555628361
1500,40,0.62036,"[0.7756,0.46512]","[0.591844,0.674556]",1081784472436
1500,100,0.61768,"[0.7668,0.46856]","[0.590646,0.667693]",1084492065824
1500,200,0.62052,"[0.79536,0.44568]","[0.589295,0.685324]",1087049417431
1500,300,0.61932,"[0.82848,0.41016]","[0.584128,0.70513]",1082613918237
