k,time
38,7881268
38,7967900
38,7991456
38,7859346
38,7831761
38,7999172
38,8003251
38,7836980
38,7868308
38,7975780
39,7940168
39,7967378
39,7928705
39,8003693
39,7883519
39,7918019
39,7946121
39,8079933
39,7803064
39,7957419
39,8025093
39,8064775
39,7870108
39,7885361
39,8042157
39,7993155
39,7919572
39,7869894
39,7990858
39,7918686
40,7998103
40,7910642
40,7936240
40,7910340
40,8139040
40,7956876
40,7968446
40,7897467
40,7947396
40,7975492
40,8054866
40,7919191
40,7876774
40,8017404
40,8018236
40,7928659
40,7829561
40,8049571
40,7909834
40,7890628
41,7871726
41,7984743
41,7836724
41,7948861
41,7947879
41,8019228
41,7894071
41,7917551
41,7966317
41,8086421
41,7908280
41,7845048
41,7838458
41,7833999
41,7842761
41,7844007
41,7851414
41,7842492
41,7848460
41,8136604
42,8359082
42,7845099
42,7839964
42,7852365
42,7851895
42,7839044
42,7851582
42,7834908
42,7843484
42,7925286
42,7903975
42,8064997
42,7928570
42,7845911
42,7835242
42,8068278
42,7972392
42,7930065
42,7948794
42,8051638
43,7930521
43,7952791
43,7924321
43,8051740
43,7842066
43,7939879
43,7998942
43,7999059
43,7919785
43,7965557
43,8048532
43,8007569
43,7847930
43,7875954
43,8073570
43,7974004
43,7998292
43,7809163
43,7941418
43,7945442
44,7993358
44,7838962
44,7959489
44,7883386
44,7939011
44,7934030
44,7850930
44,7826806
44,7987857
44,8071990
44,7985047
44,7887779
44,7867212
44,7955762
44,7976129
44,7916957
44,7934421
44,7896161
44,7905466
44,7924262
45,7963090
45,7891453
45,7949528
45,7981097
45,8075750
45,7904167
45,7802589
45,7890313
45,8109369
45,8009739
45,7936894
45,7929105
45,7949520
45,7969187
45,7978591
45,7869224
45,7927385
45,7886288
45,8008958
45,7875749
46,7976844
46,7958106
46,7951125
46,8014974
46,7887601
46,7840481
46,7921486
46,7959192
46,8002208
46,7831385
46,7932571
46,7966482
46,7965346
46,7913345
46,7946520
46,7876243
46,7929135
46,8057926
46,7880474
46,7905191
47,7957934
47,7973751
47,7998709
47,7808271
47,7920280
47,8003938
47,8001442
47,7895957
47,7889711
47,7966963
47,7980645
47,7909615
47,7909314
47,7952993
47,7967163
47,7953964
47,8002405
47,7995362
47,7919461
47,8008021
48,7979129
48,7997660
48,7980574
48,7916053
48,7977223
48,7985675
48,7929752
48,7888294
48,7886653
48,7986167
48,8001258
48,7918093
48,7932879
48,7906458
48,8008192
48,7977274
48,7919557
48,7890256
48,7942686
48,7940636
49,7964769
49,7826519
49,7954577
49,7987253
49,8061874
49,7932513
49,7813032
49,7961652
49,7988720
49,7957447
49,7862535
49,7970104
49,7844479
49,7961825
49,7997315
49,7980239
49,7855266
49,7925302
49,7987567
49,8003787
50,7896496
50,7930191
50,7984514
50,8095426
50,7899015
50,7942334
50,7997530
50,7952401
50,8089165
50,7916642
50,7956004
50,7904319
50,7935198
50,7943822
50,7986924
50,7872808
50,7934495
50,7940510
50,8017034
50,7821026
51,7889369
51,7923668
51,8052695
51,7868013
51,7831728
51,7906240
51,7921187
51,8043358
51,7859144
51,7955252
51,7972292
51,7941004
51,7953682
51,7961261
51,7928920
51,7893226
51,7990112
51,7888485
51,7836326
51,7831474
52,7833246
52,7840822
52,7847054
52,7848809
52,7840467
52,7841351
52,7838543
52,7845410
52,7841269
52,7851530
52,7841279
52,7843365
52,7855116
52,7844415
52,7835216
52,7950102
52,7903870
52,7939513
52,7876267
52,7973605
53,7947173
53,7852509
53,7967727
53,7998401
53,7930648
53,7949460
53,7862685
53,8010436
53,8013871
53,7978744
53,7931501
53,8043251
53,7975515
53,7985278
53,7939845
53,7923854
53,7889793
53,7887579
53,8027952
53,8076356
54,7874507
54,7849967
54,8085091
54,8034320
54,7899477
54,7902968
54,8059719
54,8014978
54,8015398
54,7840293
54,8023007
54,7952557
54,7982818
54,7952916
54,7904747
54,7852819
54,8035892
54,8035897
54,7944486
54,7800187
55,7886150
55,7989710
55,7976278
55,7817138
55,7808205
55,8000150
55,7992471
55,7890571
55,7836769
55,7926513
55,7902894
55,7875232
55,7910357
55,7838265
55,7940550
55,7936208
55,8013107
55,7821188
55,7822764
55,7894400
56,7971260
56,7881372
56,7780730
56,7957329
56,7927073
56,7837925
56,8001826
56,7866307
56,7997130
56,7886525
56,7972405
56,7922184
56,7915621
56,7858095
56,7939203
56,7902001
56,7895949
56,7888708
56,7910242
56,7983568
57,7900738
57,7941861
57,7856387
57,7979271
57,7941604
57,7889635
57,7820359
57,8004439
57,7917796
57,7887135
57,7820825
57,7912045
57,7900971
57,7875331
57,7834668
57,7801120
57,7943085
57,7908140
57,7952956
57,7815905
58,7912263
58,7954801
58,7891673
58,7830059
58,7807435
58,7932320
58,7901389
58,7906414
58,7821277
58,7934852
58,7918293
58,7866857
58,8010174
58,8022021
58,7871906
58,7847477
58,7880897
58,8031539
58,7830168
58,7948705
59,7901276
59,7991240
59,7965264
59,7894510
59,7987460
59,8012140
59,7956255
59,7881384
59,7922160
59,8069967
59,7968676
59,7811762
59,7901816
59,7876437
59,7945018
59,7866150
59,7910599
59,7831419
59,7923309
59,7925377
60,8012432
60,7828458
60,7878349
60,7860353
60,8032845
60,7858557
60,7795703
60,7925876
60,7968241
60,7932568
60,7828785
60,7940438
60,7853909
60,7879190
60,7875372
60,7995372
60,7819786
60,7877110
60,7895091
60,7981512
61,7775173
61,7936256
61,7926719
61,8034306
61,7846141
61,7948461
61,7956465
61,7983949
61,7857173
61,7817812
61,7928794
61,7871986
61,7936867
61,7832961
61,7918964
61,7915527
61,8029592
61,7871055
61,7968729
61,7857500
62,7962740
62,7905623
62,7980195
62,7791393
62,7920714
62,7839539
62,7824324
62,7836405
62,7852843
62,7862288
62,7847782
62,7841006
62,7845209
62,7839859
62,7838498
62,7848394
62,7839583
62,7834196
62,7841848
62,7851350
63,7835876
63,7842067
63,7844731
63,7823425
63,7989218
63,8017597
63,8069185
63,8491123
63,7980430
63,7903284
63,7873951
63,7831704
63,8041535
63,7870125
63,7966517
63,7951343
63,7992271
63,7904954
63,7909452
63,7953537
64,7981200
64,7896577
64,7858220
64,7995092
64,7978890
64,7875655
64,7964326
64,8035583
64,7961487
64,7910905
64,7802195
64,7974906
64,7923873
64,7946799
64,7847319
64,8025244
64,7943798
64,7876518
64,7970855
64,7956949
65,7893893
65,7839754
65,8005974
65,7944693
65,7813976
65,7884324
65,8044738
65,7964719
65,7972816
65,7814266
65,7981686
65,7948238
65,7988151
65,7875184
65,8029906
65,7913912
65,7963604
65,7922890
65,7955291
65,7882823
66,7974057
66,8059555
66,7878434
66,7906535
66,7901870
66,7980032
66,7945116
66,7853847
66,7921183
66,7980831
66,7961347
66,7986632
66,7850493
66,7918226
66,7907494
66,7901965
66,7876033
66,7863177
66,7944437
66,7929063
67,8019182
67,7823431
67,7876742
67,7933477
67,7962824
67,7917620
67,7903153
67,7887021
67,8048054
67,7964672
67,8031710
67,7964104
67,7951943
67,7802524
67,8004359
67,7851550
67,7895909
67,7887408
67,7972375
67,7925817
68,7856667
68,7919405
68,7914339
68,7990706
68,7909682
68,7907221
68,7904119
68,7960472
68,7906096
68,7985099
68,7924685
68,7962851
68,7895336
68,7946708
68,7872676
68,8047596
68,7933497
68,7922099
68,7922625
68,7893051
69,7858618
69,7872363
69,7912952
69,7863989
69,7889086
69,7947940
69,7902002
69,7993932
69,7905882
69,8001162
69,7941471
69,7869548
69,7918875
69,7977813
69,7897882
69,7913679
69,7953085
69,8024932
69,7862519
69,7898984
70,7932837
70,8031659
70,7874352
70,7900709
70,7972482
70,7975397
70,7955606
70,7932686
70,7930039
70,8006374
70,7891664
70,7927137
70,7926330
70,8002985
70,8019229
70,7872830
70,7938612
70,7888967
70,7939881
70,7894417
71,8037205
71,7874019
71,7950380
71,7898180
71,7968890
71,7952566
71,7946649
71,7977371
71,7892069
71,7973302
71,7867147
71,7986696
71,7997494
71,7862672
71,7944305
71,7948649
71,7864267
71,7970845
71,8041484
71,8048940
72,7788994
72,7877080
72,7936792
72,7955109
72,7983269
72,7823072
72,8074674
72,7835183
72,7924682
72,7869856
72,7934187
72,7842577
72,7839110
72,7850426
72,7856014
72,7837717
72,7846151
72,7867417
72,7856670
72,7846359
73,7856125
73,7830382
73,7842931
73,7850653
73,7859308
73,7851003
73,7837343
73,7853680
73,7849446
73,7838573
73,7843954
73,7869141
73,7844532
73,7990745
73,7817177
73,7907582
73,7890370
73,7952400
73,7801547
73,7838734
74,7873828
74,7900559
74,7797332
74,7883214
74,7968479
74,7949952
74,7782350
74,7852780
74,7894952
74,7909514
74,7922309
74,7802199
74,8018049
74,7872894
74,7869192
74,7821622
74,7994239
74,7863135
74,7899206
74,7870958
75,7944249
75,7903333
75,7911647
75,7923909
75,7957569
75,7907981
75,7880426
75,7979602
75,7887495
75,7799840
75,7795649
75,8050256
75,7888346
75,7823420
75,7857310
75,7936073
75,7848897
75,7863702
75,7884972
75,7964584
76,7979100
76,7880463
76,7940747
76,7923971
76,7881261
76,7854319
76,8018945
76,7950007
76,7860229
76,7927538
76,8061443
76,7924742
76,7838637
76,7861640
76,7987799
76,7920811
76,8030100
76,7849353
76,8012991
76,7904754
77,8083840
77,8019348
77,7929837
77,7860862
77,7901073
77,8012291
77,7815813
77,7824347
77,7933008
77,8023533
77,7913275
77,7843608
77,7990010
77,8058810
77,7995944
77,7898939
