k,time
81,118070265
81,117280907
81,117082793
81,117555589
81,117012130
81,117179721
81,117430000
81,117171832
81,117202229
82,117635642
82,117126508
82,117419152
82,117110031
82,117619418
82,117541242
82,117338168
82,117241524
82,117030212
82,117070404
82,117570266
82,117425164
82,117667358
82,117206153
82,118050770
82,117422069
82,117493580
82,117887508
82,117739566
82,117850368
83,117363311
83,117369339
83,116876599
83,117255337
83,117474223
83,116974747
83,116995361
83,117458374
83,117661519
83,118385574
83,118239805
83,117089317
83,118344092
83,118588225
83,117345593
83,117139201
83,117678890
83,116880322
83,117049228
83,117063905
84,117977279
84,121221541
84,121859971
84,120141966
84,120374841
84,120230320
84,119691485
84,117979525
84,117257510
84,117198297
84,117446357
84,118063633
84,117258691
84,117568804
84,117057065
84,119451120
84,117319258
84,117909934
84,118612757
84,117560886
85,118292451
85,118822984
85,119009523
85,118500817
85,117324732
85,117315768
85,117343358
85,117780216
85,117758546
85,119329551
85,117568090
85,117537040
85,117068976
85,117333529
85,118569893
85,118208473
85,117393478
85,118769516
85,118650725
85,118092909
86,116970702
86,116764432
86,117633486
86,118193906
86,117117579
86,117431804
86,117177408
86,117474317
86,118186332
86,117379329
86,117045806
86,117556735
86,117071457
86,117370161
86,117337030
86,116802154
86,118082037
86,117880417
86,117635272
86,117457447
87,117252081
87,117273911
87,118015989
87,117213964
87,117178281
87,117715439
87,117686554
87,117114603
87,117359209
87,117072405
87,116821562
87,117432780
87,117399944
87,117218751
87,116700754
87,117173761
87,117712341
87,117214338
87,117223498
87,116940379
88,117104307
88,117412776
88,117324742
88,116944084
88,116752828
88,117396575
88,117193008
88,116696802
88,116897022
88,116845814
88,117877661
88,117092165
88,116921595
88,116473418
88,117090823
88,117131662
88,117365127
88,116984395
88,117575840
88,117304183
89,116846039
89,116876160
89,117027148
89,116795173
89,117820198
89,117059858
89,117428999
89,117398577
89,116641064
89,117195192
89,116869042
89,117019070
89,116812154
89,117481494
89,116507501
89,117342050
89,117053034
89,116750356
89,117323529
89,117030032
90,116581721
90,116894858
90,118347609
90,117417867
90,117598455
90,117679184
90,117366843
90,117318624
90,117161632
90,116615620
90,116995216
90,117238246
90,117434907
90,117121463
90,117030369
90,116763498
90,116616619
90,116864365
90,116987565
90,117298516
91,117458159
91,117674954
91,116789715
91,117149100
91,116733916
91,117700779
91,117549660
91,116857187
91,117526887
91,117300027
91,117985896
91,116953702
91,116634958
91,116850093
91,118359743
91,118484805
91,117336350
91,116856786
91,117285051
91,118242676
92,118760921
92,116934057
92,117336406
92,117871124
92,117668317
92,116590410
92,116782163
92,117106924
92,117965505
92,117543162
92,116444234
92,116614451
92,116459409
92,117624881
92,117540153
92,117176538
92,117270922
92,116614706
92,116456921
92,116835040
93,117017553
93,117181289
93,117805629
93,117590500
93,117055275
93,116724846
93,117081804
93,117082791
93,117779100
93,116669206
93,116748141
93,116684153
93,116726414
93,116712757
93,117087327
93,116776317
93,118161859
93,117653544
93,117000148
93,116966272
94,116948487
94,117758893
94,117698028
94,117127390
94,116840611
94,117248634
94,116737307
94,116968042
94,116597297
94,117451433
94,118057123
94,117670600
94,116820964
94,116805069
94,117217011
94,117450551
94,117048497
94,116441852
94,116703371
94,116695259
95,116973290
95,116176877
95,116510827
95,116392205
95,117459269
95,117039561
95,116838653
95,116899736
95,117005731
95,117435081
95,117289864
95,117166590
95,116794754
95,117046095
95,116971251
95,117018369
95,117112332
95,116600835
95,117046077
95,117051748
96,117035907
96,116914411
96,116599895
96,117347558
96,117660154
96,116626738
96,116985705
96,117492445
96,117144258
96,116213015
96,116334219
96,116897754
96,117942159
96,116498092
96,116138666
96,116514771
96,116810669
96,117082074
96,116739339
96,116420258
97,116491737
97,116525393
97,116306334
97,116719800
97,116395988
97,116596411
97,116959652
97,117480500
97,117493710
97,116502153
97,116324583
97,117325556
97,116554860
97,116226033
97,117116183
97,116378062
97,116166107
97,116484682
97,116933841
97,116161307
98,117566423
98,116321158
98,116253547
98,116451247
98,116142065
98,117017057
98,116891510
98,116272692
98,116069071
98,115946001
98,115973543
98,116460654
98,116131147
98,115882926
98,116480321
98,116538069
98,116177048
98,116285476
98,115571203
98,116955683
99,116530290
99,116042271
99,116292839
99,116137250
99,116129732
99,116154656
99,116558233
99,116199087
99,117036854
99,116520349
99,116204460
99,117214126
99,116662290
99,117117781
99,117085929
99,116774915
99,116567496
99,118470881
99,116769069
99,116369645
100,116826266
100,116794239
100,117729860
100,117061432
100,116304009
100,116597046
100,116232454
100,117163321
100,116547562
100,116551151
100,116254777
100,116356740
100,116690960
100,116228466
100,117120628
100,116649630
100,117252264
100,117601632
100,118208591
100,117114169
101,116805549
101,117815729
101,117138303
101,116253866
101,117580849
101,117373688
101,117254006
101,116106338
101,116005883
101,116588011
101,118078478
101,116655237
101,115923390
101,116189073
101,116440356
101,117429323
101,116099813
101,116110340
101,115717660
101,116109276
102,116210999
102,116780050
102,115893809
102,116359816
102,117532097
102,116804479
102,116451429
102,116047760
102,116594759
102,117119091
102,116583881
102,115446913
102,116119341
102,116146179
102,116434179
102,116086920
102,116000342
102,116097591
102,116597344
102,116940050
103,116628282
103,117620560
103,118642097
103,117335859
103,117035570
103,116486288
103,115874545
103,116239906
103,116659173
103,116793963
103,116535246
103,116234525
103,117576013
103,117059212
103,117026582
103,116682512
103,116551726
103,117235660
103,117797729
103,116559471
104,116514731
104,115578994
104,116382131
104,116540641
104,117036947
104,116494628
104,117334118
104,117181068
104,116596117
104,116997841
104,116764094
104,117757467
104,117403157
104,117047592
104,116709856
104,116764917
104,116223605
104,116674094
104,117052972
104,116998435
105,117706086
105,117359778
105,116528647
105,116806515
105,116780701
105,117607509
105,117147953
105,116856752
105,116889800
105,116680522
105,116986622
105,117725332
105,116918839
105,116667493
105,118280307
105,117167116
105,116712616
105,117176542
105,116784505
105,118500708
106,117959884
106,117095847
106,117030606
106,117037098
106,116276314
106,116808505
106,116363262
106,117361891
106,117319829
106,117354117
106,116878597
106,117183414
106,116882681
106,117787330
106,117492563
106,117188247
106,117262310
106,116935510
106,117181797
106,116683877
107,117161471
107,117127315
107,118710575
107,117861638
107,117400231
107,116956992
107,117590265
107,119037230
107,117498060
107,117348451
107,117416956
107,117531538
107,117171135
107,117358309
107,116730792
107,117253594
107,117976203
107,117027151
107,116656030
107,117059154
108,117226025
108,118262094
108,117981967
108,117630368
108,117939918
108,117527961
108,117458398
108,117156918
108,117190878
108,117214721
108,117740805
108,117078284
108,117213611
108,116929222
108,117020507
108,117736511
108,117817874
108,117254489
108,117209570
108,117093119
109,117994125
109,118191420
109,117473266
109,117201086
109,118183334
109,117725690
109,117303018
109,117264679
109,116906172
109,118926995
109,119147517
109,121248322
109,118472629
109,117447967
109,117561049
109,117596831
109,117371203
109,117452922
109,118831487
109,117442764
110,117975859
110,118092209
110,118678824
110,119394510
110,117262385
110,117341512
110,117856112
110,117691859
110,117189291
110,117532335
110,118320184
110,117426631
110,118400087
110,117650957
110,117545274
110,117476360
110,117513753
110,117752539
110,116802526
110,117577098
111,118247653
111,118096690
111,117166830
111,118465460
111,118618990
111,118478705
111,118887811
111,118283071
111,116690694
111,117174187
111,117809371
111,118365146
111,116500807
111,116951465
111,117115696
111,116947972
111,116968762
111,117020913
111,117152206
111,117331208
112,117889046
112,116163639
112,116642482
112,116759034
112,117477678
112,117394258
112,116569621
112,116538703
112,117153844
112,117865418
112,117133561
112,117016117
112,116989977
112,117760759
112,117441906
112,116688181
112,116623308
112,116999505
112,117829881
112,117904523
113,116761037
113,116726887
113,116890415
113,117044253
113,117384523
113,117367423
113,117296248
113,118185094
113,118475953
113,117178035
113,118542787
113,118444245
113,119296798
113,117517569
113,117368626
113,117024733
113,116865428
113,116550864
113,117127929
113,117194290
114,116837207
114,117561544
114,117979385
114,116997495
114,116955261
114,116734109
114,116906076
114,117465860
114,116963295
114,116688556
114,116511989
114,116604760
114,117336944
114,117152994
114,116820292
114,117661501
114,117700739
114,117380157
114,117028181
114,116951080
115,117494203
115,117067849
115,117180858
115,117098230
115,116960629
115,116550403
115,116750159
115,116773398
115,117296903
115,117577087
115,117507032
115,116841332
115,116732878
115,116517976
115,117012990
115,116989211
115,116791219
115,117035600
115,116769999
115,116541266
116,116878080
116,117342393
116,116741646
116,117443833
116,117013902
116,117096748
116,117337939
116,116988073
116,117009809
116,116463884
116,116570324
116,116524642
116,117047663
116,116645886
116,116774235
116,117148759
116,116507088
116,117836306
116,118349420
116,117071812
117,116500728
117,116580142
117,117520677
117,117004701
117,116320282
117,116385028
117,116394837
117,117087132
117,116281310
117,116301546
117,116207230
